Date,Description,"Check Number",Amount
01/09/2013,"CHECK #1001 CONVERTED TO ELECTRONIC TRANSACTION BY ADT SECURITY SER CHECKPYMNT 010913",1001,-137.97
01/09/2013,"ELECTRONIC IMAGE",1060,-115.00
01/09/2013,"DEBIT CARD PURCHASE AT MARATHON PETRO0741, FLOYDS KNOBS, IN ON 010813 FROM CARD#: XXXXXXXXXXXX5886",,-40.01
01/08/2013,"ELECTRONIC IMAGE",1058,-328.02
01/08/2013,"ELECTRONIC IMAGE",1005,-126.00
01/08/2013,"ELECTRONIC IMAGE",1003,-67.28
01/08/2013,"ELECTRONIC IMAGE",1059,-45.10
01/08/2013,"ELECTRONIC IMAGE",1004,-19.30
01/08/2013,"DEBIT CARD PURCHASE AT PANERA BREAD #6012, LOUISVILLE, KY ON 010713 FROM CARD#: XXXXXXXXXXXX1547",,-8.01
01/08/2013,"DEBIT CARD PURCHASE AT USPS XXXXXXXXX3150, NEW ALBANY, IN ON 010713 FROM CARD#: XXXXXXXXXXXX5886",,-6.05
01/08/2013,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-2.05
01/07/2013,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 220105 4206 CHARLESTON RD NEW ALBANY IN",,-244.48
01/07/2013,"ELECTRONIC IMAGE",1109,-195.00
01/07/2013,"ELECTRONIC IMAGE",1002,-49.50
01/07/2013,"MERCHANT PAYMENT AT LOC 160002 #53 GW FLOYDS KNOBS STO FLOYDS KNOBS IN",,-24.72
01/07/2013,"MERCHANT PAYMENT AT LOC 160001 #44 GW NEW ALBANY STORE NEW ALBANY IN",,-14.98
01/07/2013,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 010413 FROM CARD#: XXXXXXXXXXXX5886",,-7.95
01/04/2013,"JCPS PAYROLL DD JCPS XXXXX8692 010413",,1350.42
01/04/2013,"5/3 MORTGAGE LN #0415907559 PAID BY AUTO BILLPAYER",,-967.15
01/04/2013,"MERCHANT PAYMENT JAY C FOODS AT LOC C08103 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-149.97
01/04/2013,"MERCHANT PAYMENT FLOYD CENTRAL T AT LOC 632001 1042 N LUTHER RD GEORGETOWN IN",,-6.99
01/03/2013,"MERCHANT PAYMENT WALGREENS AT LOC 971041 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-20.32
01/03/2013,"MERCHANT PAYMENT AT LOC 160001 #53 GW FLOYDS KNOBS STO FLOYDS KNOBS IN",,-4.82
01/03/2013,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-2.67
01/02/2013,"ICIM CORPORATION DIRECT DEP 5480400816142RE 010213",,1178.23
01/02/2013,"MERCHANT PAYMENT WALGREENS AT LOC 971042 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-65.92
01/02/2013,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121231 FROM CARD#: XXXXXXXXXXXX5886",,-37.97
01/02/2013,"MERCHANT PAYMENT AT LOC 160002 #53 GW FLOYDS KNOBS STO FLOYDS KNOBS IN",,-27.34
01/02/2013,"DEBIT CARD PURCHASE AT MCDONALD'S M7431 O, NEW ALBANY, IN ON 121231 FROM CARD#: XXXXXXXXXXXX5886",,-4.47
01/02/2013,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-2.69
01/02/2013,"5/3 TELEPHONE TRANSFER TO CC: XXXXXXXXXXXX8922 REF # 00550963117",,-35.00
12/31/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 241230 4206 CHARLESTON RD NEW ALBANY IN",,-312.85
12/31/2012,"ELECTRONIC IMAGE",9001,-67.28
12/31/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390075 TARGET T0139 NEW ALBANY New Albany IN",,-22.53
