Date,Description,"Check Number",Amount
10/24/2012,"ICIM CORPORATION DIRECT DEP 5340408871872RE 102412",,1210.53
10/24/2012,"ELECTRONIC IMAGE",,-393.79
10/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 071024 4206 CHARLESTON RD NEW ALBANY IN",,-45.02
10/24/2012,"MERCHANT PAYMENT AT LOC 160001 #44 GW NEW ALBANY STORE NEW ALBANY IN",,-34.90
10/24/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO1457, GEORGETOWN, IN ON 102312 FROM CARD#: XXXXXXXXXXXX1547",,-32.36
10/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481024 4206 CHARLESTON RD NEW ALBANY IN",,-22.22
10/24/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 058 2241-C STATE STREET NEW ALBANY IN",,-15.81
10/23/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
10/23/2012,"CIRRUS WITHDRAWAL AT LOC 052 1038 W KNABLE RD GEORGETOWN IN",,-23.00
10/22/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141020 4206 CHARLESTON RD NEW ALBANY IN",,-242.51
10/22/2012,"DEBIT CARD PURCHASE AT GREAT HARVEST BREA, NEW ALBANY, IN ON 102012 FROM CARD#: XXXXXXXXXXXX1547",,-10.59
10/22/2012,"DEBIT CARD PURCHASE AT MCDONALD'S M7434 O, NEW ALBANY, IN ON 101812 FROM CARD#: XXXXXXXXXXXX5886",,-10.57
10/22/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-2.69
10/19/2012,"DEBIT CARD PURCHASE AT FARM BUREAU INS, INDIANAPOLIS, IN ON 101812 FROM CARD#: XXXXXXXXXXXX5886",,-92.50
10/19/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0582, FLOYDS KNOBS, IN ON 101712 FROM CARD#: XXXXXXXXXXXX5886",,-62.17
10/18/2012,"MERCHANT PAYMENT SAVE-A-LOT #2390 AT LOC 502301 624 STATE STREET NEW ALBANY IN",,-22.12
10/16/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-1.99
10/16/2012,"ELECTRONIC IMAGE",1048,-400.00
10/15/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141013 4206 CHARLESTON RD NEW ALBANY IN",,-309.64
10/15/2012,"DEBIT CARD PURCHASE AT MTD*PARTS&POWER EQ, 800-269-6215, OH ON 101212 FROM CARD#: XXXXXXXXXXXX5886",,-62.02
10/15/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 008 2241-C STATE STREET NEW ALBANY IN",,-30.63
10/15/2012,"MERCHANT PAYMENT MEIJER, INC. AT LOC 591014 4206 CHARLESTON RD NEW ALBANY IN",,-16.39
10/15/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 009 2241-C STATE STREET NEW ALBANY IN",,-5.53
10/15/2012,"ELECTRONIC IMAGE",1047,-23.15
10/15/2012,"ELECTRONIC IMAGE",1046,-215.84

